City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country
lasa,,,,,,,cn
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
mataura,,,,,,,pf
bambous virieux,-20.34,57.76,23.95,78.0,40.0,3.6,mu
dakar,14.69,-17.44,31.0,79.0,40.0,2.1,sn
ponta do sol,17.2,-25.09,30.0,70.0,75.0,7.7,cv
portland,-38.33,141.6,8.89,72.0,28.0,5.58,au
poum,-20.23,164.02,23.74,79.0,100.0,6.66,nc
nikolskoye,59.7,30.79,5.0,85.0,75.0,3.0,ru
arraial do cabo,-22.97,-42.03,26.0,78.0,20.0,7.2,br
nikolskoye,59.7,30.79,5.0,85.0,75.0,3.0,ru
kuryk,43.2,51.65,17.04,30.0,0.0,4.86,kz
taolanaro,,,,,,,mg
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
chokurdakh,70.63,147.92,-3.26,99.0,100.0,3.67,ru
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
avarua,-21.21,-159.78,21.0,64.0,100.0,2.6,ck
rostovka,55.38,71.89,5.43,85.0,57.0,1.98,ru
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
senador jose porfirio,-2.59,-51.95,33.88,43.0,65.0,1.17,br
santa maria,16.6,-22.9,29.0,74.0,40.0,6.2,cv
viligili,,,,,,,mv
vardo,70.37,31.11,5.0,86.0,75.0,8.2,no
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
ribeira grande,38.52,-28.7,22.0,78.0,20.0,1.5,pt
meulaboh,4.14,96.13,25.44,84.0,96.0,1.53,id
tiksi,71.69,128.87,-8.22,97.0,92.0,0.86,ru
taolanaro,,,,,,,mg
chhabra,24.67,76.83,27.15,58.0,29.0,3.5,in
puerto ayora,-0.74,-90.35,22.51,73.0,75.0,6.2,ec
avarua,-21.21,-159.78,21.0,64.0,100.0,2.6,ck
dikson,73.51,80.55,-0.59,92.0,100.0,11.39,ru
mehamn,71.04,27.85,5.0,75.0,75.0,5.7,no
varhaug,58.61,5.65,7.22,99.0,2.0,1.34,no
pervomayskiy,53.25,40.29,11.51,59.0,22.0,3.43,ru
san patricio,19.22,-104.7,31.07,64.0,0.0,2.01,mx
hilo,19.73,-155.09,22.66,73.0,1.0,2.6,us
hilo,19.73,-155.09,22.66,73.0,1.0,2.6,us
avarua,-21.21,-159.78,21.0,64.0,100.0,2.6,ck
marawi,18.48,31.82,33.09,11.0,0.0,4.56,sd
castro,-42.47,-73.77,16.58,39.0,13.0,3.1,cl
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
gat,,,,,,,ly
vaini,-21.2,-175.2,23.0,83.0,75.0,3.6,to
cagayan de tawi-tawi,,,,,,,ph
mataura,,,,,,,pf
chara,56.91,118.26,-5.11,86.0,75.0,1.43,ru
msanga,-6.05,36.03,23.0,60.0,40.0,6.2,tz
sydney,-33.87,151.21,20.0,72.0,36.0,6.7,au
kidal,18.44,1.41,37.44,9.0,2.0,1.23,ml
new norfolk,-42.78,147.06,3.6,71.0,4.0,1.18,au
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
mar del plata,-38.0,-57.56,15.0,72.0,0.0,5.1,ar
singarayakonda,15.25,80.03,27.89,78.0,85.0,2.54,in
severo-kurilsk,50.68,156.12,6.1,78.0,27.0,8.87,ru
bluff,-46.6,168.33,6.93,59.0,42.0,9.18,nz
touros,-5.2,-35.46,30.0,58.0,40.0,6.7,br
nosy varika,-20.58,48.53,21.51,89.0,53.0,3.71,mg
provideniya,64.38,-173.3,3.42,93.0,100.0,5.16,ru
leningradskiy,69.38,178.42,0.68,90.0,100.0,4.76,ru
dubna,56.73,37.17,9.67,77.0,99.0,5.57,ru
anchorage,61.22,-149.9,2.53,86.0,90.0,1.5,us
nanortalik,60.14,-45.24,4.8,75.0,100.0,2.57,gl
butaritari,3.07,172.79,27.43,77.0,90.0,6.52,ki
cidreira,-30.18,-50.21,20.04,71.0,89.0,3.84,br
bethel,41.37,-73.41,20.83,52.0,1.0,6.2,us
cabedelo,-6.98,-34.83,29.0,62.0,75.0,6.2,br
asau,,,,,,,tv
carnarvon,-24.87,113.63,19.0,82.0,75.0,10.3,au
emerald,-23.53,148.17,16.39,72.0,0.0,2.6,au
qaqortoq,60.72,-46.03,3.0,59.0,75.0,1.0,gl
belushya guba,,,,,,,ru
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
el tigre,8.89,-64.25,30.72,56.0,24.0,3.57,ve
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
alindao,5.03,21.21,22.94,93.0,96.0,1.02,cf
galashki,43.11,44.99,12.0,76.0,88.0,2.0,ru
isangel,-19.55,169.27,23.45,82.0,100.0,1.02,vu
cape town,-33.93,18.42,16.37,77.0,20.0,9.8,za
leningradskiy,69.38,178.42,0.68,90.0,100.0,4.76,ru
yellowknife,62.46,-114.35,-3.72,79.0,75.0,9.8,ca
yellowknife,62.46,-114.35,-3.72,79.0,75.0,9.8,ca
kangaatsiaq,68.31,-53.46,1.9,80.0,100.0,4.02,gl
gorontalo,0.54,123.06,24.74,86.0,100.0,0.86,id
beni,0.5,29.47,19.45,98.0,100.0,0.3,cd
lalmohan,22.34,90.74,28.38,79.0,0.0,3.43,bd
jamestown,-15.94,-5.72,16.25,89.0,92.0,6.6,sh
namibe,-15.2,12.15,20.6,78.0,44.0,3.44,ao
belushya guba,,,,,,,ru
rio verde de mato grosso,-18.92,-54.84,37.39,30.0,54.0,2.01,br
busselton,-33.65,115.33,9.7,58.0,91.0,5.28,au
tasiilaq,65.61,-37.64,4.0,86.0,75.0,4.6,gl
upernavik,72.79,-56.15,-1.95,85.0,3.0,2.46,gl
port alfred,-33.59,26.89,18.73,85.0,1.0,5.83,za
iqaluit,63.75,-68.51,2.89,93.0,90.0,2.6,ca
